EX,ID,LIST
The event logging service has shutdown. ,1100,['The event logging service has shutdown.']
Audit events have been dropped by the transport. The real time backup file was corrupt due to improper shutdown. ,1101,['Audit events have been dropped by the transport. The real time backup file was corrupt due to improper shutdown.']
The audit log was cleared. Subject: Security ID: WIN-R9H529RIO4Y\Administrator Account Name: Administrator Domain Name: WIN-R9H529RIO4Y Logon ID: 0x169e9 ,1102,"['The audit log was cleared.', 'Subject:', 'Security ID: WIN-R9H529RIO4Y\\\\\\\\\\\\\\\\Administrator', 'Account Name: Administrator', 'Domain Name: WIN-R9H529RIO4Y', 'Logon ID: 0x169e9']"
The security log is now full. ,1104,['The security log is now full.']
Event log automatic backup   Log Security File: C:\Windows\System32\Winevt\Logs\Archive-Security-2007-12-11-23-55-03-007.evtx ,1105,"['Event log automatic backup Log Security', 'File: C:\\\\\\\\\\\\\\\\Windows\\\\\\\\\\\\\\\\System32\\\\\\\\\\\\\\\\Winevt\\\\\\\\\\\\\\\\Logs\\\\\\\\\\\\\\\\Archive-Security-2007-12-11-23-55-03-007.evtx']"
The event logging service encountered an error while processing an incoming event published from Microsoft-Windows-Security-Auditing. ,1108,['The event logging service encountered an error while processing an incoming event published from Microsoft-Windows-Security-Auditing.']
Windows is starting up.  ,4608,['Windows is starting up. ']
Windows is shutting down. All logon sessions will be terminated by this shutdown. ,4609,['Windows is shutting down. All logon sessions will be terminated by this shutdown.']
An authentication package has been loaded by the Local Security Authority. This authentication package will be used to authenticate logon attempts. Authentication Package Name: C:\Windows\system32\msv1_0.dll : MICROSOFT_AUTHENTICATION_PACKAGE_V1_0 ,4610,"['An authentication package has been loaded by the Local Security Authority. This authentication package will be used to authenticate logon attempts.', 'Authentication Package Name: C:\\\\\\\\\\\\\\\\Windows\\\\\\\\\\\\\\\\system32\\\\\\\\\\\\\\\\msv1_0.dll : MICROSOFT_AUTHENTICATION_PACKAGE_V1_0']"
A trusted logon process has been registered with the Local Security Authority. This logon process will be trusted to submit logon requests. Subject: Security ID: SYSTEM Account Name: MS4$ Account Domain: WORKGROUP Logon ID: 0x3e7 Logon Process Name: IKE Example from Server 2008 R2: ,4611,"['A trusted logon process has been registered with the Local Security Authority. This logon process will be trusted to submit logon requests.', 'Subject:', 'Security ID: SYSTEM', 'Account Name: MS4$', 'Account Domain: WORKGROUP', 'Logon ID: 0x3e7', 'Logon Process Name: IKE']"
"Internal resources allocated for the queuing of audit messages have been exhausted, leading to the loss of some audits.  Number of audit messages discarded: %1  ",4612,"['Internal resources allocated for the queuing of audit messages have been exhausted leading to the loss of some audits. ', 'Number of audit messages discarded: %1 ']"
A notification package has been loaded by the Security Account Manager. This package will be notified of any account or password changes.  Notification Package Name: RASSFM ,4614,"['A notification package has been loaded by the Security Account Manager. This package will be notified of any account or password changes. ', 'Notification Package Name: RASSFM']"
"Invalid use of LPC port.  Subject: Security ID:  %1 Account Name:  %2 Account Domain:  %3 Logon ID:  %4 Process Information: PID:  %7 Name:  %8 Other Information: Invalid Use:  %5 LPC Server Port Name: %6  Windows Local Security Authority (LSA) communicates with the Windows kernel using Local Procedure Call (LPC) ports. If you see this event, an application has inadvertently or intentionally accessed this port which is reserved exclusively for LSA's use. The application (process) should be investigated to ensure that it is not attempting to tamper with this communications channel. ",4615,"['Invalid use of LPC port. ', 'Subject:', 'Security ID:  %1', 'Account Name:  %2', 'Account Domain:  %3', 'Logon ID:  %4', 'Process Information:', 'PID:  %7', 'Name:  %8', 'Other Information:', 'Invalid Use:  %5', 'LPC Server Port Name: %6 ']"
The system time was changed. Subject: Security ID:  ACME\administrator Account Name:  administrator Account Domain:  ACME Logon ID:  0x2f6de Process Information: Process ID: 0xf28 Name:  C:\Windows\System32\rundll32.exe Other Information: Previous Time:  8:23:53 AM 12/24/2007 New Time:  8:24:49 AM 12/24/2007 ,4616,"['The system time was changed.', 'Subject:', 'Security ID:  ACME\\\\\\\\\\\\\\\\administrator', 'Account Name:  administrator', 'Account Domain:  ACME', 'Logon ID:  0x2f6de', 'Process Information:', 'Process ID: 0xf28', 'Name:  C:\\\\\\\\\\\\\\\\Windows\\\\\\\\\\\\\\\\System32\\\\\\\\\\\\\\\\rundll32.exe', 'Other Information:', 'Previous Time:  8:23:53 AM 12/24/2007', 'New Time:  8:24:49 AM 12/24/2007']"
A monitored security event pattern has occurred.  Subject: Security ID:  %3 Account Name:  %4 Account Domain:  %5 Logon ID:  %6 Alert Information: Computer:  %2 Event ID:  %1 Number of Events: %7 Duration:  %8 ,4618,"['A monitored security event pattern has occurred. ', 'Subject:', 'Security ID:  %3', 'Account Name:  %4', 'Account Domain:  %5', 'Logon ID:  %6', 'Alert Information:', 'Computer:  %2', 'Event ID:  %1', 'Number of Events: %7', 'Duration:  %8']"
Administrator recovered system from CrashOnAuditFail. Users who are not administrators will now be allowed to log on. Some auditable activity might not have been recorded.  Value of CrashOnAuditFail: %1 ,4621,"['Administrator recovered system from CrashOnAuditFail. Users who are not administrators will now be allowed to log on. Some auditable activity might not have been recorded. ', 'Value of CrashOnAuditFail: %1 ']"
A security package has been loaded by the Local Security Authority. Security Package Name: C:\Windows\system32\LSASRV.dll : Negotiate ,4622,"['A security package has been loaded by the Local Security Authority.', 'Security Package Name: C:\\\\\\\\\\\\\\\\Windows\\\\\\\\\\\\\\\\system32\\\\\\\\\\\\\\\\LSASRV.dll : Negotiate']"
An account was successfully logged on. Subject: Security ID: SYSTEM Account Name: DESKTOP-LLHJ389$ Account Domain: WORKGROUP Logon ID: 0x3E7 Logon Information: Logon Type: 7 Restricted Admin Mode: - Virtual Account: No Elevated Token: No Impersonation Level: Impersonation New Logon: Security ID: AzureAD\RandyFranklinSmith Account Name: rsmith@montereytechgroup.com Account Domain: AzureAD Logon ID: 0xFD5113F Linked Logon ID: 0xFD5112A Network Account Name: - Network Account Domain: - Logon GUID: {00000000-0000-0000-0000-000000000000} Process Information: Process ID: 0x30c Process Name: C:\Windows\System32\lsass.exe Network Information: Workstation Name: DESKTOP-LLHJ389 Source Network Address: - Source Port: - Detailed Authentication Information: Logon Process: Negotiat Authentication Package: Negotiate Transited Services: - Package Name (NTLM only): - Key Length: 0 ,4624,"['An account was successfully logged on.', 'Subject:', 'Security ID:SYSTEM', 'Account Name:DESKTOP-LLHJ389$', 'Account Domain:WORKGROUP', 'Logon ID:0x3E7', 'Logon Information:', 'Logon Type:7', 'Restricted Admin Mode:-', 'Virtual Account:No', 'Elevated Token:No', 'Impersonation Level:Impersonation', 'New Logon:', 'Security ID:AzureAD\\\\\\\\\\\\\\\\RandyFranklinSmith', 'Account Name:rsmith@montereytechgroup.com', 'Account Domain:AzureAD', 'Logon ID:0xFD5113F', 'Linked Logon ID:0xFD5112A', 'Network Account Name:-', 'Network Account Domain:-', 'Logon GUID:{00000000-0000-0000-0000-000000000000}', 'Process Information:', 'Process ID:0x30c', 'Process Name:C:\\\\\\\\\\\\\\\\Windows\\\\\\\\\\\\\\\\System32\\\\\\\\\\\\\\\\lsass.exe', 'Network Information:', 'Workstation Name:DESKTOP-LLHJ389', 'Source Network Address:-', 'Source Port:-', 'Detailed Authentication Information:', 'Logon Process:Negotiat', 'Authentication Package:Negotiate', 'Transited Services:-', 'Package Name (NTLM only):-', 'Key Length:0']"
An account failed to log on. Subject: Security ID:  NULL SID Account Name:  - Account Domain:  - Logon ID:  0x0 Logon Type: 3 Account For Which Logon Failed: Security ID:  NULL SID Account Name:  asdf Account Domain:   Failure Information: Failure Reason:  Unknown user name or bad password. Status:  0xc000006d Sub Status:  0xc0000064 Process Information: Caller Process ID: 0x0 Caller Process Name: - Network Information: Workstation Name: WIN-R9H529RIO4Y Source Network Address: 10.42.42.201 Source Port:  53176 Detailed Authentication Information: Logon Process:  NtLmSsp  Authentication Package: NTLM Transited Services: - Package Name (NTLM only): - Key Length:  0 ,4625,"['An account failed to log on.', 'Subject:', 'Security ID:  NULL SID', 'Account Name:  -', 'Account Domain:  -', 'Logon ID:  0x0', 'Logon Type: 3', 'Account For Which Logon Failed:', 'Security ID:  NULL SID', 'Account Name:  asdf', 'Account Domain:  ', 'Failure Information:', 'Failure Reason:  Unknown user name or bad password.', 'Status:  0xc000006d', 'Sub Status:  0xc0000064', 'Process Information:', 'Caller Process ID: 0x0', 'Caller Process Name: -', 'Network Information:', 'Workstation Name: WIN-R9H529RIO4Y', 'Source Network Address: 10.42.42.201', 'Source Port:  53176', 'Detailed Authentication Information:', 'Logon Process:  NtLmSsp ', 'Authentication Package: NTLM', 'Transited Services: -', 'Package Name (NTLM only): -', 'Key Length:  0']"
User / Device claims information. Subject: Security ID:  %1 Account Name:  %2 Account Domain:  %3 Logon ID:   %4 Logon Type:    %9 New Logon: Security ID:  %5 Account Name:  %6 Account Domain:  %7 Logon ID:   %8 Event in sequence:  %10 of %11 User Claims:   %12 Device Claims:   %13 ,4626,"['User / Device claims information.', 'Subject:', 'Security ID:  %1', 'Account Name:  %2', 'Account Domain:  %3', 'Logon ID:   %4', 'Logon Type:    %9', 'New Logon:', 'Security ID:  %5', 'Account Name:  %6', 'Account Domain:  %7', 'Logon ID:   %8', 'Event in sequence:  %10 of %11', 'User Claims:   %12', 'Device Claims:   %13']"
Group membership information. Subject:  Security ID: AzureAD\RandyFranklinSmith  Account Name: RandyFranklinSmith  Account Domain: AzureAD  Logon ID: 0x7A202 Logon Type:  2 New Logon:   Security ID: DESKTOP-TMO9MI9\Administrator  Account Name: Administrator  Account Domain: DESKTOP-TMO9MI9  Logon ID: 0x1D80AF1 Event in sequence: 1 of 1 Group Membership:  DESKTOP-TMO9MI9\None  Everyone  NT AUTHORITY\Local account and member of Administrators group  BUILTIN\Administrators  BUILTIN\Users  NT AUTHORITY\INTERACTIVE  CONSOLE LOGON  NT AUTHORITY\Authenticated Users  NT AUTHORITY\This Organization  NT AUTHORITY\Authenticated Users3  LOCAL  NT AUTHORITY\NTLM Authentication  Mandatory Label\High Mandatory Level  ,4627,"['Group membership information.', 'Subject:', 'Security ID:AzureAD\\\\\\\\\\\\\\\\RandyFranklinSmith', 'Account Name:RandyFranklinSmith', 'Account Domain:AzureAD', 'Logon ID:0x7A202', 'Logon Type:2', 'New Logon:', ' Security ID:DESKTOP-TMO9MI9\\\\\\\\\\\\\\\\Administrator', 'Account Name:Administrator', 'Account Domain:DESKTOP-TMO9MI9', 'Logon ID:0x1D80AF1', 'Event in sequence:1 of 1', 'Group Membership:', 'DESKTOP-TMO9MI9\None  Everyone  NT AUTHORITY\Local account and member of Administrators group  BUILTIN\Administrators  BUILTIN\Users  NT AUTHORITY\INTERACTIVE  CONSOLE LOGON  NT AUTHORITY\Authenticated Users  NT AUTHORITY\This Organization  NT AUTHORITY\Authenticated Users3  LOCAL  NT AUTHORITY\NTLM Authentication  Mandatory Label\High Mandatory Leve ']"
