DICT,EX,ID,LIST,REG
{'Description': 'The event logging service has shutdown. '},The event logging service has shutdown. ,1100,['The event logging service has shutdown.'],(?P<Description>.*)
{'Description': 'Audit events have been dropped by the transport. The real time backup file was corrupt due to improper shutdown. '},Audit events have been dropped by the transport. The real time backup file was corrupt due to improper shutdown. ,1101,['Audit events have been dropped by the transport. The real time backup file was corrupt due to improper shutdown.'],(?P<Description>.*)
"{'Description': 'The audit log was cleared.', 'SubjectSID': 'WIN-R9H529RIO4Y\\Administrator', 'SubjectAccountName': 'Administrator', 'SubjectDomainName': 'WIN-R9H529RIO4Y', 'SubjectLogonID': '0x169e9 '}",The audit log was cleared. Subject: Security ID: WIN-R9H529RIO4Y\Administrator Account Name: Administrator Domain Name: WIN-R9H529RIO4Y Logon ID: 0x169e9 ,1102,"['The audit log was cleared.', 'Subject:', 'Security ID: WIN-R9H529RIO4Y\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\Administrator', 'Account Name: Administrator', 'Domain Name: WIN-R9H529RIO4Y', 'Logon ID: 0x169e9']",(?P<Description>.*)\s+Subject:(?:\s+|\S)Security ID:(?:\s+|\S)(?P<SubjectSID>.*)\s+Account Name:(?:\s+|\S)(?P<SubjectAccountName>.*)\s+Domain Name:(?:\s+|\S)(?P<SubjectDomainName>.*)\s+Logon ID:(?:\s+|\S)(?P<SubjectLogonID>.*)
{'Description': 'The security log is now full. '},The security log is now full. ,1104,['The security log is now full.'],(?P<Description>.*)
"{'Description': 'Event log automatic backup   Log Security', 'Filter': 'C:\\Windows\\System32\\Winevt\\Logs\\Archive-Security-2007-12-11-23-55-03-007.evtx '}",Event log automatic backup   Log Security File: C:\Windows\System32\Winevt\Logs\Archive-Security-2007-12-11-23-55-03-007.evtx ,1105,"['Event log automatic backup Log Security', 'File: C:\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\Windows\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\System32\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\Winevt\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\Logs\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\Archive-Security-2007-12-11-23-55-03-007.evtx']",(?P<Description>.*)\s+File:(?:\s+|\S)(?P<Filter>.*)
{'Description': 'The event logging service encountered an error while processing an incoming event published from Microsoft-Windows-Security-Auditing. '},The event logging service encountered an error while processing an incoming event published from Microsoft-Windows-Security-Auditing. ,1108,['The event logging service encountered an error while processing an incoming event published from Microsoft-Windows-Security-Auditing.'],(?P<Description>.*)
{'Description': 'Windows is starting up.  '},Windows is starting up.  ,4608,['Windows is starting up. '],(?P<Description>.*)
{'Description': 'Windows is shutting down. All logon sessions will be terminated by this shutdown. '},Windows is shutting down. All logon sessions will be terminated by this shutdown. ,4609,['Windows is shutting down. All logon sessions will be terminated by this shutdown.'],(?P<Description>.*)
"{'Description': 'An authentication package has been loaded by the Local Security Authority. This authentication package will be used to authenticate logon attempts.', 'AuthenticationPackageName': 'C:\\Windows\\system32\\msv1_0.dll : MICROSOFT_AUTHENTICATION_PACKAGE_V1_0 '}",An authentication package has been loaded by the Local Security Authority. This authentication package will be used to authenticate logon attempts. Authentication Package Name: C:\Windows\system32\msv1_0.dll : MICROSOFT_AUTHENTICATION_PACKAGE_V1_0 ,4610,"['An authentication package has been loaded by the Local Security Authority. This authentication package will be used to authenticate logon attempts.', 'Authentication Package Name: C:\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\Windows\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\system32\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\msv1_0.dll : MICROSOFT_AUTHENTICATION_PACKAGE_V1_0']",(?P<Description>.*)\s+Authentication Package Name:(?:\s+|\S)(?P<AuthenticationPackageName>.*)
"{'Description': 'A trusted logon process has been registered with the Local Security Authority. This logon process will be trusted to submit logon requests.', 'SubjectSID': 'SYSTEM', 'SubjectAccountName': 'MS4$', 'SubjectAccountDomain': 'WORKGROUP', 'SubjectLogonID': '0x3e7', 'SubjectLogonProcessName': 'IKE Example from Server 2008 R2: '}",A trusted logon process has been registered with the Local Security Authority. This logon process will be trusted to submit logon requests. Subject: Security ID: SYSTEM Account Name: MS4$ Account Domain: WORKGROUP Logon ID: 0x3e7 Logon Process Name: IKE Example from Server 2008 R2: ,4611,"['A trusted logon process has been registered with the Local Security Authority. This logon process will be trusted to submit logon requests.', 'Subject:', 'Security ID: SYSTEM', 'Account Name: MS4$', 'Account Domain: WORKGROUP', 'Logon ID: 0x3e7', 'Logon Process Name: IKE']",(?P<Description>.*)\s+Subject:(?:\s+|\S)Security ID:(?:\s+|\S)(?P<SubjectSID>.*)\s+Account Name:(?:\s+|\S)(?P<SubjectAccountName>.*)\s+Account Domain:(?:\s+|\S)(?P<SubjectAccountDomain>.*)\s+Logon ID:(?:\s+|\S)(?P<SubjectLogonID>.*)\s+Logon Process Name:(?:\s+|\S)(?P<SubjectLogonProcessName>.*)
"{'Description': 'Internal resources allocated for the queuing of audit messages have been exhausted, leading to the loss of some audits. ', 'Numberofauditmessagesdiscarded': '%1  '}","Internal resources allocated for the queuing of audit messages have been exhausted, leading to the loss of some audits.  Number of audit messages discarded: %1  ",4612,"['Internal resources allocated for the queuing of audit messages have been exhausted leading to the loss of some audits. ', 'Number of audit messages discarded: %1 ']",(?P<Description>.*)\s+Number of audit messages discarded:(?:\s+|\S)(?P<Numberofauditmessagesdiscarded>.*)
"{'Description': 'A notification package has been loaded by the Security Account Manager. This package will be notified of any account or password changes. ', 'NotificationPackageName': 'RASSFM '}",A notification package has been loaded by the Security Account Manager. This package will be notified of any account or password changes.  Notification Package Name: RASSFM ,4614,"['A notification package has been loaded by the Security Account Manager. This package will be notified of any account or password changes. ', 'Notification Package Name: RASSFM']",(?P<Description>.*)\s+Notification Package Name:(?:\s+|\S)(?P<NotificationPackageName>.*)
"{'Description': 'Invalid use of LPC port. ', 'SubjectSID': '%1', 'SubjectAccountName': '%2', 'SubjectAccountDomain': '%3', 'SubjectLogonID': '%4', 'ProcessInformationPID': '%7', 'ProcessInformationName': '%8', 'OtherInformationInvalidUse': '%5', 'OtherInformationLPCServerPortName': ""%6  Windows Local Security Authority (LSA) communicates with the Windows kernel using Local Procedure Call (LPC) ports. If you see this event, an application has inadvertently or intentionally accessed this port which is reserved exclusively for LSA's use. The application (process) should be investigated to ensure that it is not attempting to tamper with this communications channel. ""}","Invalid use of LPC port.  Subject: Security ID:  %1 Account Name:  %2 Account Domain:  %3 Logon ID:  %4 Process Information: PID:  %7 Name:  %8 Other Information: Invalid Use:  %5 LPC Server Port Name: %6  Windows Local Security Authority (LSA) communicates with the Windows kernel using Local Procedure Call (LPC) ports. If you see this event, an application has inadvertently or intentionally accessed this port which is reserved exclusively for LSA's use. The application (process) should be investigated to ensure that it is not attempting to tamper with this communications channel. ",4615,"['Invalid use of LPC port. ', 'Subject:', 'Security ID:  %1', 'Account Name:  %2', 'Account Domain:  %3', 'Logon ID:  %4', 'Process Information:', 'PID:  %7', 'Name:  %8', 'Other Information:', 'Invalid Use:  %5', 'LPC Server Port Name: %6 ']",(?P<Description>.*)\s+Subject:(?:\s+|\S)Security ID:(?:\s+|\S)(?P<SubjectSID>.*)\s+Account Name:(?:\s+|\S)(?P<SubjectAccountName>.*)\s+Account Domain:(?:\s+|\S)(?P<SubjectAccountDomain>.*)\s+Logon ID:(?:\s+|\S)(?P<SubjectLogonID>.*)\s+Process Information:(?:\s+|\S)PID:(?:\s+|\S)(?P<ProcessInformationPID>.*)\s+Name:(?:\s+|\S)(?P<ProcessInformationName>.*)\s+Other Information:(?:\s+|\S)Invalid Use:(?:\s+|\S)(?P<OtherInformationInvalidUse>.*)\s+LPC Server Port Name:(?:\s+|\S)(?P<OtherInformationLPCServerPortName>.*)
"{'Description': 'The system time was changed.', 'SubjectSID': 'ACME\\administrator', 'SubjectAccountName': 'administrator', 'SubjectAccountDomain': 'ACME', 'SubjectLogonID': '0x2f6de', 'ProviderInformationProviderID': '0xf28', 'ProcessInformationName': 'C:\\Windows\\System32\\rundll32.exe', 'OtherInformationPreviousTime': '8:23:53 AM 12/24/2007', 'OtherInformationNewTime': '8:24:49 AM 12/24/2007 '}",The system time was changed. Subject: Security ID:  ACME\administrator Account Name:  administrator Account Domain:  ACME Logon ID:  0x2f6de Process Information: Process ID: 0xf28 Name:  C:\Windows\System32\rundll32.exe Other Information: Previous Time:  8:23:53 AM 12/24/2007 New Time:  8:24:49 AM 12/24/2007 ,4616,"['The system time was changed.', 'Subject:', 'Security ID:  ACME\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\administrator', 'Account Name:  administrator', 'Account Domain:  ACME', 'Logon ID:  0x2f6de', 'Process Information:', 'Process ID: 0xf28', 'Name:  C:\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\Windows\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\System32\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\rundll32.exe', 'Other Information:', 'Previous Time:  8:23:53 AM 12/24/2007', 'New Time:  8:24:49 AM 12/24/2007']",(?P<Description>.*)\s+Subject:(?:\s+|\S)Security ID:(?:\s+|\S)(?P<SubjectSID>.*)\s+Account Name:(?:\s+|\S)(?P<SubjectAccountName>.*)\s+Account Domain:(?:\s+|\S)(?P<SubjectAccountDomain>.*)\s+Logon ID:(?:\s+|\S)(?P<SubjectLogonID>.*)\s+Process Information:(?:\s+|\S)Process ID:(?:\s+|\S)(?P<ProviderInformationProviderID>.*)\s+Name:(?:\s+|\S)(?P<ProcessInformationName>.*)\s+Other Information:(?:\s+|\S)Previous Time:(?:\s+|\S)(?P<OtherInformationPreviousTime>.*)\s+New Time:(?:\s+|\S)(?P<OtherInformationNewTime>.*)
"{'Description': 'A monitored security event pattern has occurred. ', 'SubjectSID': '%3', 'SubjectAccountName': '%4', 'SubjectAccountDomain': '%5', 'SubjectLogonID': '%6', 'AlertInformationComputer': '%2', 'AlertInformationEventID': '%1', 'AlertInformationNumberofEvents': '%7', 'AlertInformationDuration': '%8 '}",A monitored security event pattern has occurred.  Subject: Security ID:  %3 Account Name:  %4 Account Domain:  %5 Logon ID:  %6 Alert Information: Computer:  %2 Event ID:  %1 Number of Events: %7 Duration:  %8 ,4618,"['A monitored security event pattern has occurred. ', 'Subject:', 'Security ID:  %3', 'Account Name:  %4', 'Account Domain:  %5', 'Logon ID:  %6', 'Alert Information:', 'Computer:  %2', 'Event ID:  %1', 'Number of Events: %7', 'Duration:  %8']",(?P<Description>.*)\s+Subject:(?:\s+|\S)Security ID:(?:\s+|\S)(?P<SubjectSID>.*)\s+Account Name:(?:\s+|\S)(?P<SubjectAccountName>.*)\s+Account Domain:(?:\s+|\S)(?P<SubjectAccountDomain>.*)\s+Logon ID:(?:\s+|\S)(?P<SubjectLogonID>.*)\s+Alert Information:(?:\s+|\S)Computer:(?:\s+|\S)(?P<AlertInformationComputer>.*)\s+Event ID:(?:\s+|\S)(?P<AlertInformationEventID>.*)\s+Number of Events:(?:\s+|\S)(?P<AlertInformationNumberofEvents>.*)\s+Duration:(?:\s+|\S)(?P<AlertInformationDuration>.*)
"{'Description': 'Administrator recovered system from CrashOnAuditFail. Users who are not administrators will now be allowed to log on. Some auditable activity might not have been recorded. ', 'ValueofCrashOnAuditFail': '%1 '}",Administrator recovered system from CrashOnAuditFail. Users who are not administrators will now be allowed to log on. Some auditable activity might not have been recorded.  Value of CrashOnAuditFail: %1 ,4621,"['Administrator recovered system from CrashOnAuditFail. Users who are not administrators will now be allowed to log on. Some auditable activity might not have been recorded. ', 'Value of CrashOnAuditFail: %1 ']",(?P<Description>.*)\s+Value of CrashOnAuditFail:(?:\s+|\S)(?P<ValueofCrashOnAuditFail>.*)
"{'Description': 'A security package has been loaded by the Local Security Authority.', 'SecurityPackageName': 'C:\\Windows\\system32\\LSASRV.dll : Negotiate '}",A security package has been loaded by the Local Security Authority. Security Package Name: C:\Windows\system32\LSASRV.dll : Negotiate ,4622,"['A security package has been loaded by the Local Security Authority.', 'Security Package Name: C:\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\Windows\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\system32\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\LSASRV.dll : Negotiate']",(?P<Description>.*)\s+Security Package Name:(?:\s+|\S)(?P<SecurityPackageName>.*)
"{'Description': 'An account was successfully logged on.', 'SubjectSID': 'SYSTEM', 'SubjectAccountName': 'DESKTOP-LLHJ389$', 'SubjectAccountDomain': 'WORKGROUP', 'SubjectLogonID': '0x3E7', 'LogonInformationLogonType': '7', 'LogonInformationRestrictedAdminMode': '-', 'LogonInformationVirtualAccount': 'No', 'LogonInformationElevatedToken': 'No', 'LogonInformationImpersonationLevel': 'Impersonation', 'NewLogonSecurityID': 'AzureAD\\RandyFranklinSmith', 'NewLogonAccountName': 'rsmith@montereytechgroup.com', 'NewLogonAccountDomain': 'AzureAD', 'NewLogonLogonID': '0xFD5113F', 'NewLogonLinkedLogonID': '0xFD5112A', 'NewLogonNetworkAccountName': '-', 'NewLogonNetworkAccountDomain': '-', 'NewLogonLogonGUID': '{00000000-0000-0000-0000-000000000000}', 'ProviderInformationProviderID': '0x30c', 'ProviderInformationProviderName': 'C:\\Windows\\System32\\lsass.exe', 'NetworkInformationWorkstationName': 'DESKTOP-LLHJ389', 'NetworkInformationSourceNetworkAddress': '-', 'NetworkInformationSourcePort': '-', 'DetailedAuthenticationInformationLogonProcess': 'Negotiat', 'DetailedAuthenticationInformationAuthenticationPackage': 'Negotiate', 'DetailedAuthenticationInformationTransitedServices': '-', 'InformationPackageName': '-', 'DetailedAuthenticationInformationKeyLength': '0 '}",An account was successfully logged on. Subject: Security ID: SYSTEM Account Name: DESKTOP-LLHJ389$ Account Domain: WORKGROUP Logon ID: 0x3E7 Logon Information: Logon Type: 7 Restricted Admin Mode: - Virtual Account: No Elevated Token: No Impersonation Level: Impersonation New Logon: Security ID: AzureAD\RandyFranklinSmith Account Name: rsmith@montereytechgroup.com Account Domain: AzureAD Logon ID: 0xFD5113F Linked Logon ID: 0xFD5112A Network Account Name: - Network Account Domain: - Logon GUID: {00000000-0000-0000-0000-000000000000} Process Information: Process ID: 0x30c Process Name: C:\Windows\System32\lsass.exe Network Information: Workstation Name: DESKTOP-LLHJ389 Source Network Address: - Source Port: - Detailed Authentication Information: Logon Process: Negotiat Authentication Package: Negotiate Transited Services: - Package Name (NTLM only): - Key Length: 0 ,4624,"['An account was successfully logged on.', 'Subject:', 'Security ID:SYSTEM', 'Account Name:DESKTOP-LLHJ389$', 'Account Domain:WORKGROUP', 'Logon ID:0x3E7', 'Logon Information:', 'Logon Type:7', 'Restricted Admin Mode:-', 'Virtual Account:No', 'Elevated Token:No', 'Impersonation Level:Impersonation', 'New Logon:', 'Security ID:AzureAD\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\RandyFranklinSmith', 'Account Name:rsmith@montereytechgroup.com', 'Account Domain:AzureAD', 'Logon ID:0xFD5113F', 'Linked Logon ID:0xFD5112A', 'Network Account Name:-', 'Network Account Domain:-', 'Logon GUID:{00000000-0000-0000-0000-000000000000}', 'Process Information:', 'Process ID:0x30c', 'Process Name:C:\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\Windows\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\System32\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\lsass.exe', 'Network Information:', 'Workstation Name:DESKTOP-LLHJ389', 'Source Network Address:-', 'Source Port:-', 'Detailed Authentication Information:', 'Logon Process:Negotiat', 'Authentication Package:Negotiate', 'Transited Services:-', 'Package Name (NTLM only):-', 'Key Length:0']",(?P<Description>.*)\s+Subject:(?:\s+|\S)Security ID:(?:\s+|\S)(?P<SubjectSID>.*)\s+Account Name:(?:\s+|\S)(?P<SubjectAccountName>.*)\s+Account Domain:(?:\s+|\S)(?P<SubjectAccountDomain>.*)\s+Logon ID:(?:\s+|\S)(?P<SubjectLogonID>.*)\s+Logon Information:(?:\s+|\S)Logon Type:(?:\s+|\S)(?P<LogonInformationLogonType>.*)\s+Restricted Admin Mode:(?:\s+|\S)(?P<LogonInformationRestrictedAdminMode>.*)\s+Virtual Account:(?:\s+|\S)(?P<LogonInformationVirtualAccount>.*)\s+Elevated Token:(?:\s+|\S)(?P<LogonInformationElevatedToken>.*)\s+Impersonation Level:(?:\s+|\S)(?P<LogonInformationImpersonationLevel>.*)\s+New Logon:(?:\s+|\S)Security ID:(?:\s+|\S)(?P<NewLogonSecurityID>.*)\s+Account Name:(?:\s+|\S)(?P<NewLogonAccountName>.*)\s+Account Domain:(?:\s+|\S)(?P<NewLogonAccountDomain>.*)\s+Logon ID:(?:\s+|\S)(?P<NewLogonLogonID>.*)\s+Linked Logon ID:(?:\s+|\S)(?P<NewLogonLinkedLogonID>.*)\s+Network Account Name:(?:\s+|\S)(?P<NewLogonNetworkAccountName>.*)\s+Network Account Domain:(?:\s+|\S)(?P<NewLogonNetworkAccountDomain>.*)\s+Logon GUID:(?:\s+|\S)(?P<NewLogonLogonGUID>.*)\s+Process Information:(?:\s+|\S)Process ID:(?:\s+|\S)(?P<ProviderInformationProviderID>.*)\s+Process Name:(?:\s+|\S)(?P<ProviderInformationProviderName>.*)\s+Network Information:(?:\s+|\S)Workstation Name:(?:\s+|\S)(?P<NetworkInformationWorkstationName>.*)\s+Source Network Address:(?:\s+|\S)(?P<NetworkInformationSourceNetworkAddress>.*)\s+Source Port:(?:\s+|\S)(?P<NetworkInformationSourcePort>.*)\s+Detailed Authentication Information:(?:\s+|\S)Logon Process:(?:\s+|\S)(?P<DetailedAuthenticationInformationLogonProcess>.*)\s+Authentication Package:(?:\s+|\S)(?P<DetailedAuthenticationInformationAuthenticationPackage>.*)\s+Transited Services:(?:\s+|\S)(?P<DetailedAuthenticationInformationTransitedServices>.*)\s+Package Name \(NTLM only\):(?:\s+|\S)(?P<InformationPackageName>.*)\s+Key Length:(?:\s+|\S)(?P<DetailedAuthenticationInformationKeyLength>.*)
"{'Description': 'An account failed to log on.', 'SubjectSID': 'NULL SID', 'SubjectAccountName': '-', 'SubjectAccountDomain': '-', 'SubjectLogonID': '0x0', 'SubjectLogonType': '3', 'AccountForWhichLogonFailedSecurityID': 'NULL SID', 'AccountForWhichLogonFailedAccountName': 'asdf', 'AccountForWhichLogonFailedAccountDomain': '', 'FailureInformationFailureReason': 'Unknown user name or bad password.', 'FailureInformationState': '0xc000006d', 'FailureInformationSubStatus': '0xc0000064', 'ProcessInformationCallerProcessID': '0x0', 'ProcessInformationCallerProcessName': '-', 'NetworkInformationWorkstationName': 'WIN-R9H529RIO4Y', 'NetworkInformationSourceNetworkAddress': '10.42.42.201', 'NetworkInformationSourcePort': '53176', 'DetailedAuthenticationInformationLogonProcess': 'NtLmSsp ', 'DetailedAuthenticationInformationAuthenticationPackage': 'NTLM', 'DetailedAuthenticationInformationTransitedServices': '-', 'InformationPackageName': '-', 'DetailedAuthenticationInformationKeyLength': '0 '}",An account failed to log on. Subject: Security ID:  NULL SID Account Name:  - Account Domain:  - Logon ID:  0x0 Logon Type: 3 Account For Which Logon Failed: Security ID:  NULL SID Account Name:  asdf Account Domain:   Failure Information: Failure Reason:  Unknown user name or bad password. Status:  0xc000006d Sub Status:  0xc0000064 Process Information: Caller Process ID: 0x0 Caller Process Name: - Network Information: Workstation Name: WIN-R9H529RIO4Y Source Network Address: 10.42.42.201 Source Port:  53176 Detailed Authentication Information: Logon Process:  NtLmSsp  Authentication Package: NTLM Transited Services: - Package Name (NTLM only): - Key Length:  0 ,4625,"['An account failed to log on.', 'Subject:', 'Security ID:  NULL SID', 'Account Name:  -', 'Account Domain:  -', 'Logon ID:  0x0', 'Logon Type: 3', 'Account For Which Logon Failed:', 'Security ID:  NULL SID', 'Account Name:  asdf', 'Account Domain:  ', 'Failure Information:', 'Failure Reason:  Unknown user name or bad password.', 'Status:  0xc000006d', 'Sub Status:  0xc0000064', 'Process Information:', 'Caller Process ID: 0x0', 'Caller Process Name: -', 'Network Information:', 'Workstation Name: WIN-R9H529RIO4Y', 'Source Network Address: 10.42.42.201', 'Source Port:  53176', 'Detailed Authentication Information:', 'Logon Process:  NtLmSsp ', 'Authentication Package: NTLM', 'Transited Services: -', 'Package Name (NTLM only): -', 'Key Length:  0']",(?P<Description>.*)\s+Subject:(?:\s+|\S)Security ID:(?:\s+|\S)(?P<SubjectSID>.*)\s+Account Name:(?:\s+|\S)(?P<SubjectAccountName>.*)\s+Account Domain:(?:\s+|\S)(?P<SubjectAccountDomain>.*)\s+Logon ID:(?:\s+|\S)(?P<SubjectLogonID>.*)\s+Logon Type:(?:\s+|\S)(?P<SubjectLogonType>.*)\s+Account For Which Logon Failed:(?:\s+|\S)Security ID:(?:\s+|\S)(?P<AccountForWhichLogonFailedSecurityID>.*)\s+Account Name:(?:\s+|\S)(?P<AccountForWhichLogonFailedAccountName>.*)\s+Account Domain:(?:\s+|\S)(?P<AccountForWhichLogonFailedAccountDomain>.*)\s+Failure Information:(?:\s+|\S)Failure Reason:(?:\s+|\S)(?P<FailureInformationFailureReason>.*)\s+Status:(?:\s+|\S)(?P<FailureInformationState>.*)\s+Sub Status:(?:\s+|\S)(?P<FailureInformationSubStatus>.*)\s+Process Information:(?:\s+|\S)Caller Process ID:(?:\s+|\S)(?P<ProcessInformationCallerProcessID>.*)\s+Caller Process Name:(?:\s+|\S)(?P<ProcessInformationCallerProcessName>.*)\s+Network Information:(?:\s+|\S)Workstation Name:(?:\s+|\S)(?P<NetworkInformationWorkstationName>.*)\s+Source Network Address:(?:\s+|\S)(?P<NetworkInformationSourceNetworkAddress>.*)\s+Source Port:(?:\s+|\S)(?P<NetworkInformationSourcePort>.*)\s+Detailed Authentication Information:(?:\s+|\S)Logon Process:(?:\s+|\S)(?P<DetailedAuthenticationInformationLogonProcess>.*)\s+Authentication Package:(?:\s+|\S)(?P<DetailedAuthenticationInformationAuthenticationPackage>.*)\s+Transited Services:(?:\s+|\S)(?P<DetailedAuthenticationInformationTransitedServices>.*)\s+Package Name \(NTLM only\):(?:\s+|\S)(?P<InformationPackageName>.*)\s+Key Length:(?:\s+|\S)(?P<DetailedAuthenticationInformationKeyLength>.*)
